{'libra': 1, 'diplomat': 0, 'seafood': 0, 'label_valence': 0.557, 'explorer': 0, 'yellow': 0, 'meat': 1, 'happiness': 10, 'rollercoaster': 1, 'Frozen': 0, 'pisces': 0, 'gemini': 1, 'turtle': 0, 'label_acousticness': 0.808, 'label_track': '3aJgAgTI9srxcTuyzVDtkm', 'nothing': 0, 'red': 0, 'sleep': 7, 'sentinel': 1, 'leo': 0, 'Moana': 1, 'label_liveness': 0.303, 'label_tempo': 78.784, 'cancer': 0, 'aquarius': 0, 'label_energy': 0.448, 'cat': 0, 'sagittarius': 0, 'Raya': 0, 'cow': 0, 'label_danceability': 0.535, 'taurus': 0, 'fun': 1, 'virgo': 0, 'fish': 1, 'productive': 1, 'capricorn': 0, 'analyst': 0, 'Hercules': 0, 'StarWars': 0, 'violet': 1, 'label_instrumentalness': 1.25e-05, 'elephant': 0, 'label_mode': 1, 'label_key': 0, 'green': 0, 'orange': 0, 'Aladdin': 0, 'fox': 0, 'label_time_signature': 4, 'scorpio': 0, 'veggies': 0, 'dog': 0, 'indigo': 0, 'label_loudness': -7.759, 'aries': 0, 'label_speechiness': 0.0431, 'blue': 0}
{'Frozen': 1, 'orange': 0, 'violet': 1, 'green': 0, 'label_speechiness': 0.0387, 'happiness': 7, 'Aladdin': 0, 'Moana': 0, 'aquarius': 0, 'fun': 1, 'virgo': 0, 'fish': 1, 'indigo': 0, 'sleep': 4, 'taurus': 0, 'elephant': 0, 'libra': 0, 'nothing': 0, 'seafood': 1, 'meat': 0, 'explorer': 1, 'label_valence': 0.195, 'label_tempo': 83.372, 'label_instrumentalness': 1.1e-05, 'diplomat': 0, 'turtle': 0, 'sentinel': 1, 'label_track': '61HVbcNeRACZpyvHrc3AnD', 'Raya': 0, 'cat': 0, 'Hercules': 0, 'yellow': 0, 'veggies': 0, 'leo': 0, 'dog': 0, 'fox': 0, 'label_loudness': -12.319, 'label_danceability': 0.228, 'sagittarius': 0, 'cow': 0, 'rollercoaster': 0, 'aries': 0, 'cancer': 0, 'gemini': 0, 'label_acousticness': 0.926, 'label_time_signature': 4, 'StarWars': 0, 'blue': 1, 'label_mode': 1, 'pisces': 0, 'analyst': 0, 'red': 0, 'label_key': 5, 'scorpio': 0, 'productive': 1, 'label_energy': 0.204, 'label_liveness': 0.092, 'capricorn': 0}
{'Raya': 0, 'aries': 0, 'explorer': 1, 'rollercoaster': 1, 'label_speechiness': 0.0324, 'nothing': 0, 'sagittarius': 0, 'Frozen': 0, 'diplomat': 1, 'label_valence': 0.719, 'fun': 1, 'violet': 1, 'cat': 1, 'label_mode': 1, 'indigo': 0, 'label_track': '7MAibcTli4IisCtbHKrGMh', 'leo': 0, 'fish': 0, 'label_liveness': 0.0927, 'cow': 0, 'turtle': 0, 'veggies': 1, 'gemini': 1, 'label_instrumentalness': 0, 'red': 0, 'sentinel': 0, 'sleep': 8, 'label_key': 5, 'Moana': 0, 'aquarius': 0, 'label_danceability': 0.586, 'blue': 0, 'label_loudness': -7.964, 'scorpio': 0, 'productive': 0, 'dog': 0, 'elephant': 0, 'green': 1, 'cancer': 0, 'label_time_signature': 4, 'label_tempo': 148.088, 'Aladdin': 1, 'libra': 1, 'analyst': 0, 'happiness': 6, 'taurus': 0, 'Hercules': 0, 'meat': 1, 'orange': 1, 'label_energy': 0.616, 'fox': 1, 'virgo': 0, 'capricorn': 0, 'StarWars': 0, 'seafood': 1, 'pisces': 0, 'label_acousticness': 0.182, 'yellow': 0}
{'analyst': 1, 'fox': 1, 'diplomat': 0, 'label_time_signature': 4, 'capricorn': 0, 'label_mode': 1, 'taurus': 0, 'label_acousticness': 0.989, 'turtle': 0, 'violet': 0, 'label_speechiness': 0.0447, 'label_instrumentalness': 0.897, 'veggies': 1, 'label_key': 0, 'orange': 0, 'cat': 1, 'cancer': 1, 'libra': 1, 'scorpio': 0, 'fish': 1, 'dog': 0, 'indigo': 1, 'yellow': 1, 'blue': 0, 'sleep': 9, 'meat': 1, 'virgo': 0, 'cow': 0, 'pisces': 0, 'sagittarius': 0, 'green': 0, 'Aladdin': 0, 'label_track': '4SFBV7SRNG2e2kyL1F6kjU', 'gemini': 0, 'label_loudness': -25.427, 'Raya': 0, 'Moana': 0, 'Frozen': 1, 'label_valence': 0.216, 'elephant': 0, 'fun': 0, 'label_energy': 0.126, 'productive': 1, 'leo': 0, 'red': 0, 'label_liveness': 0.102, 'aquarius': 0, 'label_danceability': 0.221, 'sentinel': 0, 'Hercules': 0, 'seafood': 0, 'label_tempo': 133.63, 'aries': 0, 'explorer': 0, 'StarWars': 0, 'happiness': 2, 'nothing': 0, 'rollercoaster': 0}
{'veggies': 0, 'aquarius': 1, 'diplomat': 1, 'green': 1, 'sentinel': 0, 'leo': 0, 'elephant': 0, 'label_danceability': 0.505, 'capricorn': 0, 'pisces': 0, 'StarWars': 0, 'label_key': 7, 'violet': 0, 'Raya': 0, 'label_mode': 1, 'libra': 0, 'fun': 1, 'Aladdin': 0, 'label_acousticness': 0.474, 'blue': 0, 'label_liveness': 0.0949, 'label_speechiness': 0.092, 'label_energy': 0.355, 'turtle': 1, 'Frozen': 0, 'happiness': 7, 'nothing': 1, 'yellow': 0, 'fox': 0, 'sleep': 9, 'productive': 0, 'dog': 1, 'sagittarius': 0, 'Moana': 1, 'Hercules': 0, 'taurus': 0, 'label_time_signature': 4, 'rollercoaster': 0, 'analyst': 0, 'cancer': 0, 'label_instrumentalness': 0.00471, 'orange': 1, 'fish': 0, 'explorer': 1, 'label_tempo': 159.862, 'cat': 0, 'seafood': 0, 'red': 0, 'indigo': 0, 'label_valence': 0.162, 'label_loudness': -12.963, 'label_track': '0CNuKKi6MHrr8DqYtpzbCD', 'aries': 0, 'virgo': 0, 'scorpio': 0, 'meat': 0, 'cow': 0, 'gemini': 0}
{'fun': 1, 'meat': 0, 'StarWars': 0, 'explorer': 0, 'Hercules': 0, 'label_mode': 1, 'cancer': 0, 'orange': 1, 'label_acousticness': 0.00293, 'sentinel': 1, 'virgo': 0, 'aries': 0, 'gemini': 0, 'label_key': 0, 'cow': 0, 'cat': 0, 'label_liveness': 0.184, 'aquarius': 0, 'label_valence': 0.26, 'Aladdin': 1, 'turtle': 0, 'productive': 1, 'scorpio': 0, 'nothing': 0, 'label_track': '2CgOd0Lj5MuvOqzqdaAXtS', 'leo': 0, 'label_tempo': 199.526, 'Raya': 0, 'analyst': 0, 'Frozen': 0, 'libra': 1, 'label_time_signature': 4, 'elephant': 0, 'label_loudness': -4.499, 'diplomat': 0, 'capricorn': 0, 'pisces': 0, 'fish': 0, 'blue': 0, 'label_speechiness': 0.0579, 'violet': 1, 'yellow': 0, 'green': 1, 'red': 0, 'taurus': 0, 'label_instrumentalness': 0, 'label_danceability': 0.276, 'seafood': 0, 'indigo': 0, 'sagittarius': 0, 'veggies': 1, 'rollercoaster': 1, 'happiness': 8, 'Moana': 0, 'dog': 1, 'label_energy': 0.796, 'fox': 0, 'sleep': 5}
{'label_loudness': -6.85, 'Frozen': 1, 'veggies': 1, 'label_instrumentalness': 0, 'leo': 0, 'rollercoaster': 1, 'label_key': 8, 'label_danceability': 0.543, 'virgo': 0, 'dog': 1, 'aquarius': 0, 'fish': 1, 'meat': 0, 'taurus': 0, 'sagittarius': 0, 'aries': 1, 'nothing': 0, 'label_track': '0qcr5FMsEO85NAQjrlDRKo', 'libra': 0, 'label_speechiness': 0.0305, 'Moana': 0, 'Hercules': 0, 'happiness': 7, 'diplomat': 1, 'capricorn': 0, 'cow': 0, 'label_acousticness': 0.558, 'pisces': 0, 'orange': 1, 'StarWars': 0, 'violet': 0, 'fox': 0, 'seafood': 0, 'indigo': 1, 'analyst': 0, 'red': 0, 'sentinel': 0, 'cat': 0, 'gemini': 0, 'explorer': 0, 'label_mode': 1, 'label_energy': 0.485, 'label_tempo': 136.961, 'productive': 0, 'elephant': 0, 'scorpio': 0, 'label_liveness': 0.12, 'sleep': 5, 'label_valence': 0.371, 'fun': 1, 'green': 1, 'label_time_signature': 4, 'turtle': 0, 'Aladdin': 0, 'yellow': 0, 'Raya': 0, 'blue': 1, 'cancer': 0}
{'elephant': 0, 'orange': 0, 'happiness': 1, 'Aladdin': 0, 'yellow': 0, 'label_energy': 0.465, 'explorer': 0, 'diplomat': 0, 'cow': 0, 'analyst': 1, 'virgo': 0, 'scorpio': 0, 'aquarius': 0, 'aries': 0, 'turtle': 0, 'label_liveness': 0.303, 'blue': 1, 'label_time_signature': 3, 'label_danceability': 0.449, 'label_key': 0, 'rollercoaster': 0, 'cancer': 0, 'dog': 0, 'Moana': 0, 'fish': 1, 'label_track': '3FAJ6O0NOHQV8Mc5Ri6ENp', 'pisces': 0, 'red': 0, 'libra': 0, 'Hercules': 0, 'cat': 1, 'veggies': 0, 'fun': 0, 'taurus': 0, 'label_acousticness': 0.524, 'meat': 1, 'seafood': 0, 'Frozen': 0, 'label_instrumentalness': 1.02e-06, 'indigo': 1, 'fox': 1, 'nothing': 0, 'label_tempo': 89.087, 'label_loudness': -8.964, 'label_mode': 1, 'label_speechiness': 0.0791, 'violet': 0, 'productive': 0, 'gemini': 0, 'leo': 1, 'StarWars': 0, 'capricorn': 0, 'label_valence': 0.543, 'Raya': 1, 'sleep': 5, 'sentinel': 0, 'green': 0, 'sagittarius': 0}
{'Frozen': 0, 'fun': 1, 'label_loudness': -7.759, 'rollercoaster': 1, 'violet': 0, 'elephant': 1, 'StarWars': 0, 'label_valence': 0.557, 'label_acousticness': 0.808, 'Raya': 0, 'aquarius': 0, 'label_tempo': 78.784, 'veggies': 0, 'indigo': 0, 'analyst': 0, 'turtle': 0, 'label_mode': 1, 'happiness': 8, 'Moana': 0, 'meat': 0, 'orange': 0, 'dog': 1, 'label_energy': 0.448, 'label_speechiness': 0.0431, 'sleep': 6, 'diplomat': 0, 'productive': 1, 'libra': 0, 'red': 0, 'scorpio': 0, 'explorer': 0, 'leo': 0, 'Hercules': 1, 'pisces': 0, 'sagittarius': 0, 'label_key': 0, 'blue': 0, 'Aladdin': 0, 'aries': 0, 'cat': 0, 'label_liveness': 0.303, 'capricorn': 0, 'cancer': 0, 'green': 1, 'label_time_signature': 4, 'taurus': 0, 'label_danceability': 0.535, 'sentinel': 1, 'seafood': 1, 'virgo': 1, 'label_track': '3aJgAgTI9srxcTuyzVDtkm', 'fish': 0, 'yellow': 0, 'label_instrumentalness': 1.25e-05, 'gemini': 0, 'cow': 0, 'nothing': 0, 'fox': 0}
{'Raya': 0, 'taurus': 0, 'label_time_signature': 4, 'Moana': 0, 'Aladdin': 1, 'label_valence': 0.798, 'aries': 1, 'dog': 1, 'fox': 0, 'orange': 0, 'seafood': 1, 'productive': 1, 'elephant': 1, 'blue': 1, 'label_danceability': 0.719, 'indigo': 0, 'label_loudness': -4.26, 'leo': 0, 'label_track': '7kh64k3P9Fk4EsA6vOdwmj', 'Frozen': 0, 'cow': 0, 'label_instrumentalness': 3.75e-06, 'libra': 0, 'sleep': 8, 'cat': 0, 'green': 0, 'fish': 0, 'yellow': 0, 'label_tempo': 98.023, 'diplomat': 0, 'label_key': 0, 'label_energy': 0.825, 'rollercoaster': 1, 'label_liveness': 0.103, 'happiness': 10, 'sagittarius': 0, 'turtle': 0, 'gemini': 0, 'scorpio': 1, 'explorer': 0, 'nothing': 0, 'aquarius': 0, 'analyst': 0, 'veggies': 1, 'pisces': 0, 'label_acousticness': 0.39, 'sentinel': 1, 'meat': 0, 'label_mode': 1, 'capricorn': 0, 'fun': 1, 'Hercules': 0, 'StarWars': 0, 'label_speechiness': 0.0521, 'cancer': 0, 'red': 0, 'violet': 1, 'virgo': 0}
{'label_valence': 0.195, 'red': 0, 'fish': 1, 'seafood': 1, 'elephant': 0, 'happiness': 5, 'veggies': 0, 'Moana': 0, 'taurus': 0, 'orange': 0, 'fun': 0, 'nothing': 0, 'leo': 0, 'aries': 0, 'label_speechiness': 0.0387, 'diplomat': 0, 'sagittarius': 0, 'dog': 0, 'cancer': 0, 'label_liveness': 0.092, 'label_energy': 0.204, 'virgo': 0, 'label_acousticness': 0.926, 'label_mode': 1, 'green': 0, 'meat': 0, 'label_danceability': 0.228, 'blue': 1, 'Hercules': 0, 'turtle': 0, 'label_tempo': 83.372, 'capricorn': 0, 'gemini': 0, 'cow': 0, 'rollercoaster': 0, 'Aladdin': 0, 'cat': 1, 'aquarius': 0, 'pisces': 1, 'sleep': 3, 'Raya': 0, 'sentinel': 0, 'label_time_signature': 4, 'fox': 0, 'analyst': 0, 'indigo': 1, 'yellow': 0, 'libra': 0, 'label_instrumentalness': 1.1e-05, 'productive': 1, 'label_loudness': -12.319, 'scorpio': 0, 'StarWars': 0, 'label_track': '61HVbcNeRACZpyvHrc3AnD', 'Frozen': 1, 'label_key': 5, 'violet': 1, 'explorer': 1}
